film,year,script type,Rotten Tomatoes prcnt,Metacritic prcnt,Average critics prcnt,Rotten Tomatoes Audience prcnt,Metacritic Audience prcnt,Rotten Tomatoes vs Metacritic prcnt deviance,Average audience prcnt,Audience vs Critics deviance prcnt,Genre,Opening Weekend,Opening weekend (million),Domestic Gross,Domestic gross (million),Foreign Gross (million),Foreign Gross,Worldwide Gross,Worldwide Gross (million),prcnt of Gross earned abroad,Budget (million),prcnt Budget recovered,prcnt Budget recovered opening weekend,Oscar Winners,Oscar Detail,link,None
By The Sea,2015,original screenplay,32,44,38,44,68,-24,56,-18,drama,"96,250",0.10,538460,0.54,2.02,2017065,"2,555,525",3,78.93%,10,25.56%,0.96%,,,http://www.amazon.com/gp/product/B01B28GJJY/?tag=titb-20,1
Insidious: Chapter 3,2015,sequel,60,52,56,54,68,-14,61,-5,horror,"22,692,741",22.69,52218558,52.22,57.30,57300000,"109,518,558",110,52.32%,10,1095.19%,226.93%,,,http://www.amazon.com/gp/product/B016887PIW/?tag=titb-20,1
Paranormal Activity: The Ghost Dimension,2015,sequel,11,30,20.5,33,37,-4,35,-14.5,horror,"8,070,493",8.07,16281378,16.28,50.80,50800000,"67,081,378",67,75.73%,10,670.81%,80.70%,,,http://www.amazon.com/gp/product/B018SSYB96/?tag=titb-20,1
Sinister 2,2015,sequel,14,32,23,34,57,-23,45.5,-22.5,horror,"10,542,116",10.54,27740955,27.74,50,50000000,"77,740,955",78,64.32%,10,777.41%,105.42%,,,http://www.amazon.com/gp/product/B019J76QLQ/?tag=titb-20,1
The Second Best Exotic Marigold Hotel,2015,sequel,63,51,57,62,61,1,61.5,-4.5,"comedy, drama","8,540,370",8.54,33078266,33.08,52.90,52900000,"85,978,266",86,61.53%,10,859.78%,85.40%,,,http://www.amazon.com/gp/product/B011KK9J7S/?tag=titb-20,1
The DUFF,2015,adaptation,71,56,63.5,67,67,0,67,-3.5,comedy,"10,809,149",10.81,34030343,34.03,9.50,9498291,"43,528,634",44,21.82%,8.5,512.10%,127.17%,,,http://www.amazon.com/gp/product/B00UXS8PQ0/?tag=titb-20,1
A Walk in the Woods,2015,adaptation,46,51,48.5,57,53,4,55,-6.5,comedy,"8,246,267",8.25,29216212,29.22,5,5000000,"34,216,212",34,14.61%,8,427.70%,103.08%,,,http://www.amazon.com/gp/product/B019QXXFHG/?tag=titb-20,1
Me and Earl and the Dying Girl,2015,adaptation,81,74,77.5,88,84,4,86,-8.5,drama,"1,246,803",1.25,6758416,6.76,2.32,2316333,"9,074,749",9,25.53%,8,113.43%,15.59%,,,http://www.amazon.com/gp/product/B016887ZU0/?tag=titb-20,1
Freeheld,2015,based on a true story,46,50,48,53,72,-19,62.5,-14.5,drama,"37,983",0.04,573335,0.57,0,0,"573,335",1,0.00%,7,8.19%,0.54%,,,http://www.amazon.com/gp/product/B01AOHWGA0/?tag=titb-20,1
Room,2015,adaptation,96,85,90.5,97,82,15,89.5,1,drama,"118,298",0.12,1406104,1.41,6.3,6300000,"12,667,721",13,49.73%,6,211.13%,1.97%,,,http://www.amazon.com/gp/product/B019ELJRNG/?tag=titb-20,1
I'll See You in My Dreams,2015,original screenplay,94,75,84.5,70,69,1,69.5,15,"comedy, drama","52,901",0.05,7449681,7.45,0,0,"7,449,681",7,0.00%,5,148.99%,1.06%,,,http://www.amazon.com/gp/product/B0142KIQYA/?tag=titb-20,1
The Gift,2015,original screenplay,94,77,85.5,78,84,-6,81,4.5,thriller,"11,854,273",11.85,43787265,43.79,15.19,15191388,"58,978,653",59,25.76%,5,1179.57%,237.09%,,,http://www.amazon.com/gp/product/B0178D8ZRG/?tag=titb-20,1
The Visit,2015,original screenplay,63,55,59,57,65,-8,61,-2,horror,"25,427,560",25.43,64704895,64.70,26.23,26232544,"90,937,439",91,28.85%,5,1818.75%,508.55%,,,http://www.amazon.com/gp/product/B0199693VM/?tag=titb-20,1
The Age of Adaline,2015,original screenplay,54,51,52.5,67,74,-7,70.5,-18,drama,"13,203,458",13.20,42629776,42.63,15.1,15100000,"57,729,776",58,26.16%,25,230.92%,52.81%,,,http://www.amazon.com/gp/product/B014WH7LNK/?tag=titb-20,1
The Boy Next Door,2015,original screenplay,10,30,20,34,54,-20,44,-24,thriller,"14,910,105",14.91,35423380,35.42,14.74,14739723,"50,163,103",50,29.38%,4,1254.08%,372.75%,,,http://www.amazon.com/gp/product/B00USRETPM/?tag=titb-20,1
Big Stone Gap,2015,adaptation,35,39,37,75,50,25,62.5,-25.5,"romance, comedy","362,422",0.36,1009301,1.01,0,0,"1,009,301",1,0.00%,3.5,28.84%,10.35%,,,http://www.amazon.com/gp/product/B019PFW1OI/?tag=titb-20,1
The Lazarus Effect,2015,original screenplay,14,31,22.5,23,49,-26,36,-13.5,horror,"10,203,437",10.20,25801047,25.80,38.31,38309681,"64,110,728",64,59.76%,3.3,1942.75%,309.20%,,,http://www.amazon.com/gp/product/B00ZRHRXXS/?tag=titb-20,1
The End of the Tour,2015,adaptation,91,82,86.5,88,79,9,83.5,3,drama,"123,238",0.12,2961006,2.96,0,0,"2,961,006",3,0.00%,3,98.70%,4.11%,,,http://www.amazon.com/gp/product/B017CBOWEO/?tag=titb-20,1
Experimenter,2015,original screenplay,90,81,85.5,61,80,-19,70.5,15,drama,"8,682",0.01,98495,0.10,0.3,300000,"398,495",0,75.28%,3,13.28%,0.29%,,,http://www.amazon.com/gp/product/B016Q1OR0U/?tag=titb-20,1
War Room,2015,original screenplay,37,26,31.5,90,53,37,71.5,-40,drama,"11,351,389",11.35,67217187,67.22,0,0,"67,217,187",67,0.00%,3,2240.57%,378.38%,,,http://www.amazon.com/gp/product/B017OJL48G/?tag=titb-20,1
The Diary of a Teenage Girl,2015,adaptation,95,87,91,80,64,16,72,19,drama,"393,153",0.39,1477002,1.48,0.4,400000,"1,877,002",2,21.31%,2,93.85%,19.66%,,,http://www.amazon.com/gp/product/B019HR51KA/?tag=titb-20,1
Do You Believe?,2015,original screenplay,18,22,20,84,47,37,65.5,-45.5,drama,"3,591,282",3.59,12985600,12.99,2,2000000,"14,985,600",15,13.35%,2,749.28%,179.56%,,,http://www.amazon.com/gp/product/B010X3I2CQ/?tag=titb-20,1
It Follows,2015,original screenplay,96,83,89.5,65,76,-11,70.5,19,horror,"3,811,052",3.81,14674076,14.67,1.6,1600000,"16,274,076",16,9.83%,2,813.70%,190.55%,,,http://www.amazon.com/gp/product/B011KKEH70/?tag=titb-20,1
Dope,2015,original screenplay,87,72,79.5,85,75,10,80,-0.5,"comedy, drama","6,100,010",6.10,17506470,17.51,0.48,480000,"17,986,470",18,2.67%,0.7,2569.50%,871.43%,,,http://www.amazon.com/gp/product/B00KG2PHEQ/?tag=titb-20,1
Grandma,2015,original screenplay,92,78,85,71,71,0,71,14,comedy,"1,501,101",1.50,6741296,6.74,0.1,100000,"6,841,296",7,1.46%,0.6,1140.22%,250.18%,,,http://www.amazon.com/gp/product/B019HQ7ZJQ/?tag=titb-20,1
No Escape,2015,original screenplay,46,38,42,67,65,2,66,-24,action,"8,111,264",8.11,27203371,27.20,27.13,27130000,"54,333,371",54,49.93%,0.45,12074.08%,1802.50%,,,http://www.amazon.com/gp/product/B016Z411SE/?tag=titb-20,1
Tangerine,2015,original screenplay,95,85,90,80,73,7,76.5,13.5,"comedy, drama","60,683",0.06,702354,0.70,0,0,"702,354",1,0.00%,0.12,585.30%,50.57%,,,http://www.amazon.com/gp/product/B017I242IS/?tag=titb-20,1
The Gallows,2015,original screenplay,16,30,23,25,69,-44,47,-24,horror,"9,808,463",9.81,22764410,22.76,15.40,15400000,"38,164,410",38,40.35%,0.1,38164.41%,9808.46%,,,http://www.amazon.com/gp/product/B016KAAFEO/?tag=titb-20,1
Big Hero 6,2014,adaptation,89,74,81.5,92,80,12,86,-4.5,"action, adventure, sci-fi, comedy, animation, family","56,215,889",56.22,222431643,222.43,429.60,429600000,"652,031,643",652,65.89%,165,395.17%,34.07%,Oscar winner,Best Animated Feature,http://www.amazon.com/gp/product/B00TYBBYK6/?tag=titb-20,1
American Sniper,2014,based on a true story ,73,72,72.5,86,66,20,76,-3.5,"action, biography, drama, war","89,269,066",89.27,348295276,348.30,193.40,193400000,"541,695,276",542,35.70%,59,918.13%,151.30%,Oscar winner,,http://www.amazon.com/gp/product/B00RFHVCFI/?tag=titb-20,1
The Grand Budapest Hotel,2014,adaptation,92,88,90.0,86,83,3,84.5,5.5,"drama, comedy","811,166",0.81,59100318,59.10,115.50,115500000,"174,600,318",175,66.15%,30,582.00%,2.70%,Oscar winner,,http://www.amazon.com/gp/product/B00JB3O6H0/?tag=titb-20,1
Birdman,2014,original screenplay ,93,88,90.5,79,79,0,79,11.5,"drama, comedy","424,397",0.42,42340598,42.34,60.87,60874496,"103,215,094",103,58.98%,18,573.42%,2.36%,Oscar winner,"Best Picture, Best Original Screenplay",http://www.amazon.com/gp/product/B00TPJE3ZK/?tag=titb-20,1
The Theory of Everything,2014,based on a true story,79,72,75.5,84,76,8,80,-4.5,"biography, drama, romance","208,763",0.21,35893537,35.89,85.31,85308403,"121,201,940",121,70.39%,15,808.01%,1.39%,Oscar winner,Best Adapted Screenplay,http://www.amazon.com/gp/product/B00SNEGFNG/?tag=titb-20,1
Boyhood,2014,original screenplay ,98,100,99.0,82,77,5,79.5,19.5,drama,"387,618",0.39,25352281,25.35,19.14,19143000,"44,495,281",44,43.02%,4,1112.38%,9.69%,,Best Supporting Actress (Patricia Arquette),http://www.amazon.com/gp/product/B00MBWN6UG/?tag=titb-20,1
Whiplash,2014,original screenplay ,95,88,91.5,95,88,7,91.5,0,drama,"135,388",0.14,13092000,13.09,0.90,901092,"13,993,092",14,6.44%,3.3,424.03%,4.10%,,"Best Supporting Actor (J.K. Simmons), Best Film Editing (Tom Cross), Best Sound Mixing (Craig Mann, Ben Wilkins and Thomas Curley)",http://www.amazon.com/gp/product/B00PRXDUE8/?tag=titb-20,1
The Hobbit: The Battle of the Five Armies,2014,sequel,61,59,60.0,76,70,6,73,-13,"adventure, fantasy","54,724,334",54.72,255119788,255.12,700.00,700000000,"955,119,788",955,73.29%,250,382.05%,21.89%,,,http://www.amazon.com/gp/product/B015K53VXW/?tag=titb-20,1
Transformers: Age of Extinction,2014,sequel,18,32,25.0,52,46,6,49,-24,"action, adventure, sci-fi","100,038,390",100.04,45439076,45.44,845.97,845966021,"1,091,405,097","1,091",77.51%,210,519.72%,47.64%,,,http://www.amazon.com/gp/product/B00L83TQR6/?tag=titb-20,1
The Amazing Spider-Man 2,2014,sequel,53,53,53.0,66,68,-2,67,-14,"action, adventure","91,608,337",91.61,202853933,202.85,506.13,506128390,"708,982,323",709,71.39%,200,354.49%,45.80%,,,http://www.amazon.com/gp/product/B00JPNZPCG/?tag=titb-20,1
X-Men: Days of Future Past,2014,sequel,91,74,82.5,92,83,9,87.5,-5,"action, adventure, sci-fi, thriller, fantasy","90,823,660",90.82,233921534,233.92,514.20,514200000,"748,121,534",748,68.73%,200,374.06%,45.41%,,,http://www.amazon.com/gp/product/B00OH74BXY/?tag=titb-20,1
Maleficent,2014,adaptation,49,56,52.5,71,69,2,70,-17.5,"action, adventure, drama, mystery, thriller, fantasy, romance, family","69,431,298",69.43,241410378,241.41,517.00,517000000,"758,410,378",758,68.17%,180,421.34%,38.57%,,,http://www.amazon.com/gp/product/B00P7PK6JS/?tag=titb-20,1
Edge of Tomorrow,2014,adaptation,90,71,80.5,90,84,6,87,-6.5,"action, sci-fi","28,760,246",28.76,100206256,100.21,269.00,269000000,"369,206,256",369,72.86%,178,207.42%,16.16%,,,http://www.amazon.com/gp/product/B00KW25MFY/?tag=titb-20,1
Guardians of the Galaxy,2014,adaptation,91,76,83.5,93,85,8,89,-5.5,"action, adventure, sci-fi","94,320,883",94.32,333176600,333.18,441.00,441000000,"774,176,600",774,56.96%,170,455.40%,55.48%,,,http://www.amazon.com/gp/product/B00QROJ94Q/?tag=titb-20,1
Captain America: The Winter Soldier,2014,sequel,89,70,79.5,92,82,10,87,-7.5,"action, adventure, sci-fi, thriller","95,023,721",95.02,259766572,259.77,455.00,455000000,"714,766,572",715,63.66%,170,420.45%,55.90%,,,http://www.amazon.com/gp/product/B018UL4Q4G/?tag=titb-20,1
Dawn of the Planet of the Apes,2014,sequel,90,79,84.5,89,82,7,85.5,-1,"action, sci-fi, drama, thriller","72,611,427",72.61,208545589,208.55,500.29,500290000,"708,835,589",709,70.58%,170,416.96%,42.71%,,,http://www.amazon.com/gp/product/B00LP9G64O/?tag=titb-20,1
Interstellar,2014,original screenplay ,72,74,73.0,86,84,2,85,-12,"action, adventure, sci-fi, mystery","47,510,360",47.51,188020017,188.02,484.70,484700000,"672,720,017",673,72.05%,165,407.71%,28.79%,,,http://www.amazon.com/gp/product/B00TU9UFTS/?tag=titb-20,1
Godzilla (2014),2014,remake / reboot,74,62,68.0,67,68,-1,67.5,0.5,"action, adventure, sci-fi, thriller, fantasy","93,188,384",93.19,200676069,200.68,328.00,328000000,"528,676,069",529,62.04%,160,330.42%,58.24%,,,http://www.amazon.com/gp/product/B00NM7IR26/?tag=titb-20,1
Mr. Peabody & Sherman,2014,adaptation,79,59,69.0,73,66,7,69.5,-0.5,"adventure, sci-fi, comedy, animation, family","32,207,057",32.21,111506430,111.51,161.41,161406000,"272,912,430",273,59.14%,145,188.22%,22.21%,,,http://www.amazon.com/gp/product/B00JEK7QAE/?tag=titb-20,1
How to Train Your Dragon 2,2014,sequel,92,76,84.0,90,84,6,87,-3,"action, adventure, fantasy, comedy, animation, family","49,451,322",49.45,177002924,177.00,441.91,441907011,"618,909,935",619,71.40%,145,426.83%,34.10%,,,http://www.amazon.com/gp/product/B00KYKNHME/?tag=titb-20,1
Exodus: Gods and Kings,2014,adaptation,27,52,39.5,37,46,-9,41.5,-2,"action, adventure, drama","24,115,934",24.12,65014513,65.01,203.02,203017315,"268,031,828",268,75.74%,140,191.45%,17.23%,,,http://www.amazon.com/gp/product/B00QWUJMV0/?tag=titb-20,1
Penguins of Madagascar,2014,sequel,72,53,62.5,64,66,-2,65,-2.5,"adventure, comedy, animation, family","25,447,444",25.45,83350911,83.35,290.20,290201183,"373,552,094",374,77.69%,132,282.99%,19.28%,,,http://www.amazon.com/gp/product/B00Q6D5O8S/?tag=titb-20,1
Night at the Museum: Secret of the Tomb,2014,sequel,50,47,48.5,59,59,0,59,-10.5,"adventure, fantasy, comedy, family","17,100,520",17.10,113574930,113.57,246.63,246625469,"360,200,399",360,68.47%,127,283.62%,13.46%,,,http://www.amazon.com/gp/product/B00R7FU2UE/?tag=titb-20,1
Noah,2014,adaptation,77,68,72.5,42,53,-11,47.5,25,"action, adventure, drama, fantasy","43,720,472",43.72,101200044,101.20,261.44,261437429,"362,637,473",363,72.09%,125,290.11%,34.98%,,,http://www.amazon.com/gp/product/B00JB3MVCW/?tag=titb-20,1
The Hunger Games: Mockingjay - Part 1,2014,adaptation,65,64,64.5,73,63,10,68,-3.5,"action, adventure, sci-fi, drama, thriller","121,897,634",121.90,337135885,337.14,414.96,414964344,"752,100,229",752,55.17%,125,601.68%,97.52%,,,http://www.amazon.com/gp/product/B00T6UD7BY/?tag=titb-20,1
Teenage Mutant Ninja Turtles (2014),2014,original screenplay ,21,31,26.0,53,50,3,51.5,-25.5,"action, adventure, sci-fi, fantasy, comedy, animation","65,575,105",65.58,191204754,191.20,293.80,293800000,"485,004,754",485,60.58%,125,388.00%,52.46%,,,http://www.amazon.com/gp/product/B00R2Z3SZA/?tag=titb-20,1
300: Rise of An Empire,2014,sequel,42,48,45.0,53,61,-8,57,-12,"action, drama, fantasy, war","45,038,460",45.04,106580051,106.58,231.00,231000000,"337,580,051",338,68.43%,110,306.89%,40.94%,,,http://www.amazon.com/gp/product/B00IXE7274/?tag=titb-20,1
Rio 2,2014,sequel,48,49,48.5,59,62,-3,60.5,-12,"adventure, comedy, animation, family","39,327,869",39.33,131538435,131.54,368.65,368650000,"500,188,435",500,73.70%,103,485.62%,38.18%,,,http://www.amazon.com/gp/product/B00JM6W5RE/?tag=titb-20,1
Hercules (2014),2014,adaptation,60,47,53.5,50,65,-15,57.5,-4,"action, adventure","29,800,263",29.80,72688614,72.69,170.70,170700000,"243,388,614",243,70.13%,100,243.39%,29.80%,,,http://www.amazon.com/gp/product/B00OPX707Y/?tag=titb-20,1
RoboCop (2014),2014,remake / reboot,49,52,50.5,51,63,-12,57,-6.5,"action, sci-fi, thriller, crime","21,681,430",21.68,58607007,58.61,184.08,184081958,"242,668,965",243,75.86%,100,242.67%,21.68%,,,http://www.amazon.com/gp/product/B00IK590UI/?tag=titb-20,1
The Expendables 3,2014,sequel,33,35,34.0,49,57,-8,53,-19,"action, adventure, thriller","15,879,645",15.88,39322544,39.32,166.85,166850000,"206,172,544",206,80.93%,90,229.08%,17.64%,,,http://www.amazon.com/gp/product/B00MQOZETK/?tag=titb-20,1
Divergent,2014,adaptation,40,48,44.0,70,59,11,64.5,-20.5,"action, adventure, sci-fi, drama, romance","54,607,747",54.61,150947895,150.95,137.80,137800000,"288,747,895",289,47.72%,85,339.70%,64.24%,,,http://www.amazon.com/gp/product/B00J59ZKV6/?tag=titb-20,1
The Monuments Men,2014,adaptation,31,52,41.5,44,53,-9,48.5,-7,"action, adventure, biography, drama, history, thriller, comedy, war","22,003,433",22.00,78031620,78.03,76.95,76952415,"154,984,035",155,49.65%,70,221.41%,31.43%,,,http://www.amazon.com/gp/product/B00II399HG/?tag=titb-20,1
Dracula Untold,2014,original screenplay ,23,40,31.5,59,63,-4,61,-29.5,"action, drama, fantasy, horror, war","23,514,615",23.51,56280355,56.28,159.25,159248846,"215,529,201",216,73.89%,70,307.90%,33.59%,,,http://www.amazon.com/gp/product/B00RW1J8RG/?tag=titb-20,1
Fury (2014),2014,original screenplay ,77,64,70.5,85,73,12,79,-8.5,"action, drama, war","23,702,421",23.70,85817906,85.82,126.00,126000000,"211,817,906",212,59.49%,68,311.50%,34.86%,,,http://www.amazon.com/gp/product/B00OLI95R6/?tag=titb-20,1
Need for Speed,2014,adaptation,22,39,30.5,58,65,-7,61.5,-31,"action, drama, thriller, crime","17,844,939",17.84,43577636,43.58,159.70,159700000,"203,277,636",203,78.56%,66,308.00%,27.04%,,,http://www.amazon.com/gp/product/B00MFDPZRS/?tag=titb-20,1
Annie (2014),2014,adaptation,27,33,30.0,62,48,14,55,-25,"drama, comedy, family, musical","15,861,939",15.86,85911262,85.91,47.91,47910554,"133,821,816",134,35.80%,65,205.88%,24.40%,,,http://www.amazon.com/gp/product/B00R7FZ2F4/?tag=titb-20,1
Unbroken,2014,adaptation,51,59,55.0,71,64,7,67.5,-12.5,"action, biography, drama, history, sport, war","30,621,445",30.62,115637895,115.64,45.82,45821402,"161,459,297",161,28.38%,65,248.40%,47.11%,,,http://www.amazon.com/gp/product/B00RFHUYKW/?tag=titb-20,1
Gone Girl,2014,adaptation,88,79,83.5,88,81,7,84.5,-1,"drama, mystery, thriller","37,513,109",37.51,167767189,167.77,200.29,200294722,"368,061,911",368,54.42%,61,603.38%,61.50%,,,http://www.amazon.com/gp/product/B00S65TBHY/?tag=titb-20,1
Jack Ryan: Shadow Recruit,2014,adaptation,56,57,56.5,53,60,-7,56.5,0,"action, drama, mystery, thriller","15,451,981",15.45,50577412,50.58,84.93,84933618,"135,511,030",136,62.68%,60,225.85%,25.75%,,,http://www.amazon.com/gp/product/B00HZ3C4N6/?tag=titb-20,1
The Boxtrolls,2014,adaptation,75,61,68.0,65,70,-5,67.5,0.5,"adventure, fantasy, comedy, animation, family","17,275,239",17.28,50837305,50.84,57.42,57418465,"108,255,770",108,53.04%,60,180.43%,28.79%,,,http://www.amazon.com/gp/product/B00QHMDWUA/?tag=titb-20,1
The LEGO Movie,2014,original screenplay ,96,83,89.5,87,82,5,84.5,5,"action, adventure, fantasy, comedy, animation, family","69,050,279",69.05,257760692,257.76,211.00,211000000,"468,760,692",469,45.01%,60,781.27%,115.08%,,,http://www.amazon.com/gp/product/B00L23SE52/?tag=titb-20,1
The Equalizer,2014,adaptation,61,57,59.0,77,68,9,72.5,-13.5,"action, thriller, crime","34,137,828",34.14,101530738,101.53,90.80,90800000,"192,330,738",192,47.21%,55,349.69%,62.07%,,,http://www.amazon.com/gp/product/B00NY4UIKG/?tag=titb-20,1
22 Jump Street,2014,adaptation,85,71,78.0,78,74,4,76,2,"action, comedy, crime","57,071,445",57.07,191719337,191.72,139.61,139614539,"331,333,876",331,42.14%,50,662.67%,114.14%,,,http://www.amazon.com/gp/product/B00KVLQT6M/?tag=titb-20,1
Into the Woods,2014,adaptation,71,69,70.0,51,61,-10,56,14,"adventure, fantasy, comedy, family, musical","31,051,923",31.05,128002372,128.00,76.30,76300000,"204,302,372",204,37.35%,50,408.60%,62.10%,,,http://www.amazon.com/gp/product/B00TPELV50/?tag=titb-20,1
Into The Storm,2014,original screenplay ,22,44,33.0,43,52,-9,47.5,-14.5,"action, thriller","17,346,427",17.35,47602194,47.60,113.00,113000000,"160,602,194",161,70.36%,50,321.20%,34.69%,,,http://www.amazon.com/gp/product/B00YIHMBFI/?tag=titb-20,1
Non-Stop,2014,original screenplay ,60,56,58.0,64,71,-7,67.5,-9.5,"action, mystery, thriller","28,875,635",28.88,92168600,92.17,130.64,130641000,"222,809,600",223,58.63%,50,445.62%,57.75%,,,http://www.amazon.com/gp/product/B00KW274SM/?tag=titb-20,1
The Book of Life (2014),2014,original screenplay ,82,67,74.5,78,73,5,75.5,-1,"adventure, fantasy, comedy, romance, animation, family","17,005,218",17.01,50151543,50.15,47.29,47285106,"97,437,106",97,48.53%,50,194.87%,34.01%,,,http://www.amazon.com/gp/product/B00OM69HZW/?tag=titb-20,1
The Judge,2014,original screenplay ,47,48,47.5,73,71,2,72,-24.5,drama,"13,116,226",13.12,47119388,47.12,36.60,36600000,"83,719,388",84,43.72%,50,167.44%,26.23%,,,http://www.amazon.com/gp/product/B00OCDSPK8/?tag=titb-20,1
Muppets Most Wanted,2014,sequel,78,61,69.5,59,63,-4,61,8.5,"adventure, comedy, crime, family, musical","17,005,126",17.01,51183113,51.18,29.20,29200000,"80,383,113",80,36.33%,50,160.77%,34.01%,,,http://www.amazon.com/gp/product/B00J5A1V5Y/?tag=titb-20,1
Planes: Fire & Rescue,2014,sequel,44,48,46.0,57,59,-2,58,-12,"adventure, comedy, animation, family","17,509,407",17.51,59165787,59.17,92.00,92000000,"151,165,787",151,60.86%,50,302.33%,35.02%,,,http://www.amazon.com/gp/product/B00LXLN4W6/?tag=titb-20,1
Step Up All In,2014,sequel,43,45,44.0,57,49,8,53,-9,"music, romance, drama","6,469,857",6.47,14904384,14.90,71.26,71261262,"86,165,646",86,82.70%,45,191.48%,14.38%,,,http://www.amazon.com/gp/product/B00O96JHQE/?tag=titb-20,1
The Interview,2014,original screenplay,53,52,52.5,50,61,-11,55.5,-3,comedy,"1,794,666",1.79,6105175,6.11,5.20,5200000,"11,305,175",11,46.00%,43,26.29%,4.17%,,,http://www.amazon.com/gp/product/B00RNRD7Y4/?tag=titb-20,1
The Nut Job,2014,adaptation,10,37,23.5,45,42,3,43.5,-20,"adventure, comedy, animation, family","19,423,000",19.42,64251541,64.25,49.06,49056421,"113,307,962",113,43.29%,42,269.78%,46.25%,,,http://www.amazon.com/gp/product/B00JJHEVKA/?tag=titb-20,1
Horrible Bosses 2,2014,sequel,35,40,37.5,50,62,-12,56,-18.5,"comedy, crime","15,457,418",15.46,54445357,54.45,52.20,52200000,"106,645,357",107,48.95%,42,253.92%,36.80%,,,http://www.amazon.com/gp/product/B00S7HRCKY/?tag=titb-20,1
Jersey Boys,2014,adaptation,53,54,53.5,63,69,-6,66,-12.5,"biography, drama, music, musical","13,319,371",13.32,47047013,47.05,20.30,20300000,"67,347,013",67,30.14%,40,168.37%,33.30%,,,http://www.amazon.com/gp/product/B00PGV8UV4/?tag=titb-20,1
A Million Ways to Die in the West,2014,original screenplay ,33,44,38.5,40,51,-11,45.5,-7,"comedy, western","16,797,385",16.80,43139300,43.14,43.27,43268783,"86,408,083",86,50.07%,40,216.02%,41.99%,,,http://www.amazon.com/gp/product/B00KNOVIOU/?tag=titb-20,1
Blended,2014,original screenplay ,14,31,22.5,64,42,22,53,-30.5,comedy,"14,284,031",14.28,46294610,46.29,80.50,80500000,"126,794,610",127,63.49%,40,316.99%,35.71%,,,http://www.amazon.com/gp/product/B00KL5HW9Q/?tag=titb-20,1
Lucy,2014,original screenplay ,66,61,63.5,47,60,-13,53.5,10,"action, sci-fi, thriller","43,899,340",43.90,126663600,126.66,332.20,332200000,"458,863,600",459,72.40%,40,1147.16%,109.75%,,,http://www.amazon.com/gp/product/B00QQW1VJA/?tag=titb-20,1
Sex Tape,2014,original screenplay ,17,36,26.5,34,30,4,32,-5.5,"drama, comedy","14,608,152",14.61,38543473,38.54,87.53,87526036,"126,069,509",126,69.43%,40,315.17%,36.52%,,,http://www.amazon.com/gp/product/B00LWY5B52/?tag=titb-20,1
